Accession_ID	Mg_blues (µg/g DW)	Latitude	Longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	awc	bulk_density	CaCO3	CEC	clay	CN	coarse_fragments	K	N	P	ph	sand	silt	srad_mean	ai	Mg(Soil) mg/kg
88	4381.237684	47.4	0.683333	11.82916641	8.824999809	37.87553787	557.5410767	25.5	2.200000048	23.29999924	6.050000191	18.91666603	18.91666603	5.349999905	661	67	38	14.92703533	191	134	134	188	0.081046745	1.351483941	56.83533859	14.53087616	22.40176582	13.59595776	15.14974403	226.2048645	1.240112185	36.84405136	7.186786175	51.225914	26.37232208	11783.83301	0.640399992	38
108	4249.456382	48.5167	-4.06667	11.10000038	6.416666508	37.74509811	392.5383606	20.79999924	3.799999952	17	7.566666603	15.98333359	16.13333321	6.700000286	1091	132	49	31.80493355	387	166	193	371	0.091235012	1.409680843	38.2882576	11.77578449	17.33009529	13.48253155	11.28009605	201.7666626	2.772523642	44.49023438	6.174456596	22.396698	60.27320862	11146.58301	1.279800057	31
139	4489.038748	48.5167	-4.06667	11.10000038	6.416666508	37.74509811	392.5383606	20.79999924	3.799999952	17	7.566666603	15.98333359	16.13333321	6.700000286	1091	132	49	31.80493355	387	166	193	371	0.091235012	1.409680843	38.2882576	11.77578449	17.33009529	13.48253155	11.28009605	201.7666626	2.772523642	44.49023438	6.174456596	22.396698	60.27320862	11146.58301	1.279800057	31
159	4812.735886	47.35	3.93333	9.324999809	7.699999809	32.35293961	596.4306641	22.70000076	-1.100000024	23.80000114	3.216666698	5.133333206	16.78333282	2.133333445	859	81	60	10.7757473	235	188	213	221	0.102306299	1.012627482	25.14647675	11.50012112	24.2136364	13.32183647	25.59222412	143.3986969	2.195257187	25.73741531	5.862647057	27.34038544	48.44597626	11838.91699	0.952400029	29
265	3798.743649	44.65	-1.16667	12.96249962	9.558333397	42.29351044	483.4117737	25.20000076	2.599999905	22.60000038	8	18.89999962	18.98333359	7.300000191	949	114	43	27.23017311	322	158	187	292	0.071425416	1.135357618	0	5.869753838	11.74624062	15.62855053	7.823429585	237.2689972	2.043348789	10.12488556	5.43571043	70.75234985	17.50141144	12972.33301	0.914699972	NA
350	5330.870503	46.6667	4.11667	10.72083282	9.175000191	35.56201553	621.583252	25.39999962	-0.400000006	25.79999924	16.68333244	6.666666508	18.56666565	3.283333302	774	79	47	16.01896477	217	152	217	174	0.103812993	1.234844446	0.782203376	11.07291889	24.98978043	10.55623722	12.93436527	237.6696014	1.743629098	36.61962128	6.27687788	31.82284546	43.18737411	12031.58301	0.775300026	36
351	5287.275351	46.6667	4.11667	10.72083282	9.175000191	35.56201553	621.583252	25.39999962	-0.400000006	25.79999924	16.68333244	6.666666508	18.56666565	3.283333302	774	79	47	16.01896477	217	152	217	174	0.103812993	1.234844446	0.782203376	11.07291889	24.98978043	10.55623722	12.93436527	237.6696014	1.743629098	36.61962128	6.27687788	31.82284546	43.18737411	12031.58301	0.775300026	36
403	6134.523541	49.3667	16.2667	7.804166794	8.408333778	30.24580383	742.3563843	23.10000038	-4.699999809	27.79999924	16.85000038	0.01666672	16.85000038	-1.350000024	533	82	24	44.10128784	218	76	218	78	0.083690062	1.448729992	0	10.36869335	12.89013767	14.64622784	16.02251244	180.9618988	1.608090878	25.184412	5.271644115	44.20360184	42.90626144	10949.58301	0.620000005	47
410	5450.874043	49.4211	16.3497	7.941666603	8.199999809	30.03663063	736.2276001	22.89999962	-4.400000095	27.29999924	15.41666698	0.199999973	16.89999962	-1.149999976	522	80	23	44.33189011	213	74	213	75	0.084998451	1.437155724	43.62799072	15.24679852	21.82600021	10.88625717	16.38795471	189.4453888	2.197673798	30.05113792	7.227241993	34.02407074	44.14992905	10954.83301	0.605700016	45
424	5413.652332	49.4112	16.2815	7.395833492	8.241666794	30.07907486	733.8084106	22.5	-4.900000095	27.39999962	16.35000038	-0.300000012	16.35000038	-1.633333325	560	85	26	42.74531555	226	82	226	85	0.082404971	1.400041461	0	11.53142357	18.05256653	10.38245678	16.11732292	205.5180206	2.134118557	38.88417053	5.95461607	44.13959503	37.80783844	10930.91699	0.660000026	47
