Sample	Mg
Col-0	3680.381
Col-0	3640.025
Col-0	3788.196
Col-0	3545.744
Col-0	4891.519
Col-0	3872.279
Col-0	4273.301
Col-0	4506.38
Col-0-mgr5	3567.087
Col-0-mgr5	3353.654
Col-0-mgr5	2898.881
Col-0-mgr5	2937.406
Col-0-mgr5	2848.194
Col-0-mgr5	3107.02
S1-1	3374.514
S1-1	3864.237
S1-1	3695.625
S1-1	3690.611
S1-1	3855.469
S1-1	3498.432
S1-1	3651.716
S1-1	3290.964
S1-1-mgr5	2545.257
S1-1-mgr5	2693.605
S1-1-mgr5	2328.609
S1-1-mgr5	2480.95
S1-1-mgr5	2305.262
S15-3	2735.919
S15-3	2700.62
S15-3	2792.743
S15-3	3072.48
S15-3	2545.786
S15-3	2712.096
S15-3	2825.662
S15-3-mgr5	2382.236
S15-3-mgr5	2238.201
S15-3-mgr5	2461.125
S15-3-mgr5	2335.244
S15-3-mgr5	2390.816
S15-3-mgr5	2064.865
S15-3-mgr5	2360.449
S15-3-mgr5	2264.648
