Mg25	Latitude	Longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	wind	srad	ai	awc	bulk_density	clay	coarse_frag	texture_usda	sand	silt	ph	CN	CEC	CaCO3	N	P	K	Mg_MMI_07	Mg_MMI_72
6425.217028	55.9473	13.821	6.800000191	7.099999905	29.83193398	632.6710815	20.39999962	-3.400000095	23.79999924	3.716666698	5.483333111	14.86666679	-0.566666663	781.0	80.0	46.0	19.21126175	237.0	152.0	194.0	199.0	3.266666651	9807.5	1.100299954	0.075444773	1.114229679	8.573512077	9.122881889	12.0	64.65504456	26.77144623	5.099497795	16.01782799	11.40405273	8.995235443	2.903223276	34.8819313	99.04319763	2.0	37.0
6106.090545	55.7714	14.1208	7.400000095	6.966666698	29.64539146	620.901123	21.0	-2.5	23.5	4.400000095	2.383333445	15.38333321	0.283333331	697.0	72.0	40.0	19.01852226	211.0	135.0	179.0	171.0	4.741666794	9921.916992	0.954400003	0.067773469	1.265206575	5.83579731	6.162236214	12.0	76.00878906	18.15541077	5.306688309	16.93301201	11.27379608	11.3391571	2.775038958	43.91685104	128.4640503	3.0	40.0
5937.667641	49.4112	16.2815	7.395833492	8.241666794	30.07907486	733.8084106	22.5	-4.900000095	27.39999962	16.35000038	-0.300000012	16.35000038	-1.633333325	560.0	85.0	26.0	42.74531555	226.0	82.0	226.0	85.0	3.858333349	10930.91699	0.642199993	0.082404971	1.400041461	18.05256653	16.11732292	9.0	44.13959503	37.80783844	5.724782944	10.38245678	11.53142357	0.0	2.134118557	38.88417053	205.5180206	3.0	47.0
5936.194976	55.4234	13.9905	7.9375	6.741666317	28.56638336	631.2761841	21.29999924	-2.299999952	23.59999847	8.766666412	2.783333302	15.96666622	0.650000036	625.0	70.0	35.0	23.54902267	205.0	118.0	149.0	153.0	5.191666603	10084.16699	0.837400019	0.077214062	1.426484346	14.06045628	6.882913113	12.0	64.81222534	21.12731934	6.321225166	11.38406277	13.24622822	10.35396385	2.153087139	56.94608688	138.1038666	2.0	39.0
5842.619693	50.0667	8.5333	10.33749962	8.458333015	32.53205109	672.6478271	25.10000038	-0.899999976	26.0	17.16666603	6.133333206	18.81666756	2.25	592.0	64.0	38.0	16.0363884	180.0	121.0	171.0	132.0	2.724999905	10368.41699	0.643100023	0.085787334	1.084117293	17.27628708	7.450330734	6.0	54.80624008	27.91747284	6.733436108	13.33543205	11.83618355	54.41788101	1.57054913	32.7956543	158.9656219	3.0	43.0
5841.596886	49.5166	9.3166	8.375	8.383333206	32.61997604	668.694458	22.79999924	-2.900000095	25.69999886	1.333333373	8.100000381	16.75	0.316666633	815.0	91.0	53.0	14.85519505	239.0	183.0	196.0	236.0	3.075000048	10662.33301	0.974099994	0.113260776	1.135579348	25.21360207	10.18247604	3.0	21.60198975	53.1844101	6.776215076	10.21646786	17.99176216	15.03878212	1.951367617	35.70798111	272.7032166	2.0	36.0
5780.468701	41.62	12.87	15.65833378	10.23333359	37.4847374	624.1424561	31.0	3.700000048	27.29999924	12.61666679	23.60000038	23.60000038	8.566666603	984.0	144.0	25.0	43.9987793	385.0	104.0	104.0	310.0	2.049999952	14648.08301	0.738200009	0.122703731	0.997447908	29.57351112	6.02536726	9.0	31.19380188	39.2326889	6.997727394	10.68985462	21.1458683	93.35690308	1.940408587	26.23869705	552.1654053	3.0	48.0
5771.758484	46.37	11.28	10.8708334	9.858333588	33.08165359	754.6445923	26.70000076	-3.099999905	29.80000114	20.18333435	3.5	20.18333435	1.666666627	770.0	92.0	31.0	32.76743698	255.0	112.0	255.0	112.0	1.049999952	12462.16699	0.778199971	0.112557448	1.100145459	24.39643097	30.96445847	9.0	35.08943176	40.51413727	6.350336075	14.08211803	30.53141785	15.20370865	2.971410513	28.02788544	151.5265198	4.0	52.0
5758.305922	56.06	14.29	7.425000191	7.600000381	31.2757206	637.5788574	21.5	-2.799999952	24.29999924	14.78333378	2.416666508	15.60000038	0.049999993	575.0	60.0	32.0	20.48856544	173.0	104.0	167.0	125.0	4.300000191	9883.083008	0.784300029	0.071636371	1.522172213	6.884860992	8.382564545	12.0	74.22499084	18.89015198	5.968779564	12.10207176	10.55120087	26.39396667	1.714125752	40.81027603	104.6217575	2.0	36.0
5738.625771	49.3667	16.2667	7.804166794	8.408333778	30.24580383	742.3563843	23.10000038	-4.699999809	27.79999924	16.85000038	0.01666672	16.85000038	-1.350000024	533.0	82.0	24.0	44.10128784	218.0	76.0	218.0	78.0	3.599999905	10949.58301	0.598800004	0.083690062	1.448729992	12.89013767	16.02251244	9.0	44.20360184	42.90626144	5.271644115	14.64622784	10.36869335	0.0	1.608090878	25.184412	180.9618988	3.0	47.0
5731.685932	55.7491	13.399	7.895833492	6.825000286	28.91949081	642.7301636	21.20000076	-2.400000095	23.60000038	8.550000191	2.766666651	16.04999924	0.416666657	674.0	70.0	37.0	20.54702759	205.0	125.0	181.0	158.0	3.158333302	9829.333008	0.888199985	0.076592125	1.141643763	12.95347691	7.555639267	12.0	64.85991669	22.18660736	6.489133358	11.9537344	12.88129234	3.066901207	1.764479756	46.89822006	133.4222565	2.0	36.0
5676.012558	56.047	13.9519	6.949999809	7.233333111	30.64971733	621.0950928	20.60000038	-3.0	23.60000038	7.5	2.033333302	14.91666698	-0.233333305	725.0	73.0	43.0	18.75135422	215.0	140.0	193.0	177.0	3.333333254	9843.5	1.023800015	0.07062792	1.216094613	6.729318619	14.95559025	12.0	62.34954834	30.92113495	4.924771786	17.51932144	10.96911144	0.837289274	2.400722742	20.57275963	104.7794724	2.0	35.0
5655.379842	52.6058	11.8558	9.741666794	8.716667175	32.52487564	685.3925171	25.10000038	-1.700000048	26.80000114	18.28333282	5.449999809	18.28333282	1.516666651	550.0	63.0	30.0	23.01215935	181.0	104.0	181.0	119.0	3.583333254	9982.416992	0.588	0.064373553	1.419660807	7.20187664	4.543951988	12.0	85.84837341	6.949752808	6.183071613	12.88516521	10.18510818	23.11630058	1.549370885	37.75364685	149.5847015	1.0	25.0
5623.830644	46.34	11.29	11.25	9.366666794	31.53759766	767.673584	27.0	-2.700000048	29.70000076	16.60000038	1.733333349	20.61666679	1.733333349	828.0	101.0	35.0	30.11419296	261.0	126.0	260.0	126.0	1.0	12410.33301	0.850300014	0.099276863	1.12125814	17.42496681	31.13807106	9.0	42.32978058	40.24525452	6.699357033	12.37959957	18.19266319	105.2798996	1.97694838	30.12436295	168.2213898	4.0	52.0
5621.899874	49.4112	16.2815	7.395833492	8.241666794	30.07907486	733.8084106	22.5	-4.900000095	27.39999962	16.35000038	-0.300000012	16.35000038	-1.633333325	560.0	85.0	26.0	42.74531555	226.0	82.0	226.0	85.0	3.858333349	10930.91699	0.642199993	0.082404971	1.400041461	18.05256653	16.11732292	9.0	44.13959503	37.80783844	5.724782944	10.38245678	11.53142357	0.0	2.134118557	38.88417053	205.5180206	3.0	47.0
5613.047205	46.34	11.29	11.25	9.366666794	31.53759766	767.673584	27.0	-2.700000048	29.70000076	16.60000038	1.733333349	20.61666679	1.733333349	828.0	101.0	35.0	30.11419296	261.0	126.0	260.0	126.0	1.0	12410.33301	0.850300014	0.099276863	1.12125814	17.42496681	31.13807106	9.0	42.32978058	40.24525452	6.699357033	12.37959957	18.19266319	105.2798996	1.97694838	30.12436295	168.2213898	4.0	52.0
5611.569446	55.7488	13.3742	7.962500095	6.824999809	28.91949081	644.6814575	21.29999924	-2.299999952	23.59999847	8.583333015	2.833333254	16.14999962	0.483333349	667.0	70.0	36.0	21.30728149	204.0	122.0	179.0	157.0	3.174999952	9844.416992	0.871299982	0.076947294	1.186851263	10.72564411	6.74111414	12.0	67.62792206	21.64643097	6.27104187	11.93923569	12.37764931	3.43039465	2.188888073	47.78464508	136.8060913	2.0	36.0
5601.381653	55.8097	13.1342	8.041666985	6.633333206	28.22694969	644.8707886	21.29999924	-2.200000048	23.5	8.783332825	2.866666555	16.18333244	0.5	651.0	68.0	33.0	21.2498951	199.0	118.0	175.0	149.0	3.791666746	9879.75	0.839900017	0.091025338	1.435461879	16.41829491	6.012359142	12.0	51.99074554	31.59095764	6.477526188	11.69563293	13.81221676	0.0	1.61041224	53.69176483	130.0686798	2.0	36.0
5594.044602	42.69	-6.93	11.35000038	10.4333334	41.56706619	532.3190918	25.79999924	0.699999988	25.09999847	8.383333206	18.13333321	18.14999962	5.183333397	1208.0	161.0	33.0	43.63153839	458.0	125.0	148.0	420.0	2.591666698	13808.16699	1.039899945	0.110463418	1.052633882	17.08262444	37.76240921	9.0	40.6244278	42.29294586	5.776559353	14.867383	10.24164009	33.51169205	2.987702608	24.33219719	144.9991455	1.0	29.0
5578.672475	56.68	16.5	7.183333397	7.516666889	29.24773026	665.9591064	21.70000076	-4.0	25.70000076	15.01666737	1.733333349	15.8166666	-0.433333367	509.0	54.0	30.0	20.01824188	158.0	96.0	148.0	116.0	4.699999809	10149.91699	0.683499992	0.084575415	1.095831633	13.948493	3.901371479	12.0	61.47021103	24.58129883	6.25242424	12.83271503	15.40527725	12.2441988	3.223742008	26.28514671	123.6753235	1.0	29.0
5554.168665	57.2746	16.1494	6.416666508	9.350000381	32.92253494	694.2861938	22.39999962	-6.0	28.39999962	14.26666641	1.066666722	15.41666698	-1.633333325	565.0	62.0	33.0	21.08746529	177.0	105.0	171.0	124.0	2.891666651	9939.75	0.749499977	0.080146931	1.118587136	12.92919827	12.98601913	12.0	58.83724976	28.23355103	4.639000893	19.95918655	16.27943993	0.0	2.211841822	23.44090843	88.58093262	3.0	39.0
5543.555487	41.25	-1.32	11.125	12.85000038	41.58575821	641.307251	29.20000076	-1.700000048	30.90000153	12.8166666	4.833333492	19.43333435	3.933333397	442.0	68.0	23.0	36.39582062	166.0	74.0	113.0	84.0	3.433333397	15470.66699	0.302399993	0.112403244	1.380310893	22.79676819	20.14114952	9.0	34.28567505	42.91755676	6.172123432	13.31560326	12.65084171	93.15161896	2.150300741	22.77295494	197.1804352	1.0	22.0
5534.623062	49.1	16.2	8.845833778	8.641666412	30.42840385	756.7077637	24.5	-3.900000095	28.39999962	16.51666641	0.98333329	18.10000038	-0.5	512.0	78.0	23.0	43.12439728	208.0	75.0	206.0	76.0	3.233333349	11115.83301	0.530099988	0.085490525	1.408218741	13.75310516	15.78114796	9.0	40.48628998	45.76060486	6.365754128	10.67679024	15.62842274	0.114053428	1.446843982	38.34349442	309.2537842	3.0	48.0
5533.419694	49.7878	9.9361	9.666666985	8.816666603	33.27043915	676.0861206	24.60000038	-1.899999976	26.5	16.66666794	5.400000095	18.16666603	1.533333302	601.0	67.0	40.0	16.23859596	182.0	125.0	178.0	143.0	2.625	10507.16699	0.667800009	0.083368249	1.410161138	24.03914642	9.475642204	9.0	31.08544922	44.87540436	7.016925335	11.60622787	11.94752502	21.97924614	1.603218913	31.10923958	182.0524902	3.0	43.0
5525.789053	48.47	18.94	7.541666985	10.1833334	33.27886581	774.5316162	24.10000038	-6.5	30.60000038	15.53333378	-0.666666746	16.93333435	-2.150000095	740.0	87.0	41.0	22.46785927	235.0	130.0	232.0	144.0	2.716666698	11384.33301	0.818000019	0.099446937	0.989718795	27.32918358	15.66406631	9.0	17.75417328	54.91664124	5.918442726	11.49201202	21.73267746	4.608356476	2.178308725	27.06161308	190.1334686	5.0	56.0
5523.601187	48.54	9.01	8.699999809	8.800000191	33.58778381	660.9841309	23.20000076	-3.0	26.20000076	15.33333302	1.849999905	16.95000076	0.733333349	764.0	97.0	42.0	25.76944733	262.0	136.0	247.0	144.0	2.558333397	11061.58301	0.893000007	0.104813471	1.039407372	31.24195862	16.1647892	9.0	19.67552948	49.0825119	6.621992588	11.16721916	22.46076965	65.79836273	3.325395823	39.17090607	204.2048035	3.0	46.0
5519.670282	49.3853	16.2544	7.387500286	8.375	30.34420395	734.7761841	22.60000038	-5.0	27.60000038	16.35000038	-0.333333343	16.35000038	-1.666666627	560.0	84.0	26.0	42.10400391	225.0	82.0	225.0	85.0	3.849999905	10941.25	0.640100002	0.082091711	1.441226125	20.07265663	18.32217026	9.0	41.8339386	38.09340668	5.974895	10.42246342	10.01639652	0.0	1.628341079	37.95294189	178.3940735	3.0	47.0
5516.195889	55.7686	14.1383	7.429166794	6.941666603	29.66524315	617.9712524	21.0	-2.400000095	23.39999962	8.100000381	2.416666746	15.40000057	0.383333325	692.0	71.0	39.0	19.05508804	209.0	133.0	178.0	170.0	4.883333206	9924.833008	0.943199992	0.063249201	1.238641858	1.25124681	13.88807297	11.0	91.48612213	7.262634277	4.333413601	17.42000389	15.51086617	0.0	2.269230843	32.85057449	113.1739502	3.0	40.0
5498.875026	40.45	-1.6	9.600000381	13.48333359	42.00415421	658.1965942	28.5	-3.599999905	32.09999847	11.36666679	3.149999857	18.28333282	2.316666603	535.0	74.0	28.0	29.11072731	180.0	103.0	115.0	120.0	2.758333206	15721.33301	0.387499988	0.100315414	1.163255334	23.76479721	28.2337265	9.0	48.42141724	27.81378174	7.311369419	12.57422924	21.10969734	218.790741	1.50688839	26.1336422	151.9069214	2.0	35.0
5480.617693	46.36	11.28	11.15000057	9.800000191	32.77592087	762.0814819	27.0	-2.900000095	29.89999962	20.51666641	1.800000072	20.51666641	1.800000072	799.0	97.0	33.0	31.32765388	257.0	119.0	257.0	119.0	1.016666651	12412.25	0.809300005	0.102624528	1.157588363	20.26763725	17.01468468	9.0	40.57906342	39.15329742	6.74727726	12.31131077	26.3205471	37.44922638	2.948513031	26.36223602	165.5933075	4.0	52.0
5477.395813	55.8383	13.2906	7.820833206	6.758333206	28.75886536	642.6806641	21.0	-2.5	23.5	4.75	2.666666746	15.96666622	0.349999964	725.0	75.0	41.0	20.48360634	221.0	137.0	189.0	176.0	3.349999905	9838.083008	0.947099984	0.070265479	1.29481113	10.29608154	7.47104311	12.0	66.73973083	22.96418762	5.982221603	14.54407501	9.685768127	2.897897959	2.495770216	38.48313141	89.8239212	2.0	36.0
5470.090254	56.06	14.29	7.425000191	7.600000381	31.2757206	637.5788574	21.5	-2.799999952	24.29999924	14.78333378	2.416666508	15.60000038	0.049999993	575.0	60.0	32.0	20.48856544	173.0	104.0	167.0	125.0	4.300000191	9883.083008	0.784300029	0.071636371	1.522172213	6.884860992	8.382564545	12.0	74.22499084	18.89015198	5.968779564	12.10207176	10.55120087	26.39396667	1.714125752	40.81027603	104.6217575	2.0	36.0
5470.047958	56.3333	15.9667	7.229166508	6.558333397	27.78954887	637.1865234	20.60000038	-3.0	23.60000038	8.100000381	5.300000191	15.46666718	0.049999971	595.0	62.0	35.0	18.18660355	175.0	114.0	159.0	147.0	4.141666889	10027.75	0.815999985	0.077064872	1.125396967	9.564622879	13.06265163	12.0	74.05254364	16.38283539	5.389511585	19.78914833	29.2597084	5.772596359	6.656756878	25.63184166	95.00409698	3.0	40.0
5466.317882	48.52	8.8	8.287500381	9.258333206	34.80576706	657.0946045	23.29999924	-3.299999952	26.59999847	14.80000019	1.450000167	16.51666641	0.416666746	861.0	94.0	58.0	16.5585041	268.0	180.0	248.0	196.0	2.691666603	11078.16699	1.024799943	0.097251303	1.312234759	28.90787506	15.5940876	9.0	20.34440613	50.74771881	6.039533138	12.01840782	9.667133331	9.774938583	1.963220954	29.30315208	205.3316345	3.0	45.0
5463.456241	49.0	16.0	8.770833015	8.675000191	30.33216858	759.9624634	24.5	-4.099999905	28.60000038	16.5	0.916666746	18.08333397	-0.599999964	523.0	79.0	23.0	43.22377777	212.0	76.0	211.0	76.0	3.066666603	11098.5	0.543500006	0.095077582	1.400957227	18.38443184	8.761940002	8.0	32.16527557	49.45029449	6.846261501	9.982477188	16.96296692	27.66553116	1.598848343	32.66728973	255.3479767	3.0	42.0
