Accession_ID	Name	Country	Latitude	Longitude	CS_number	material	Mg25	chr5:282011
88	CYR	France	47.4	0.683333	CS76790	leaf	4513.790113	0
108	LDV-18	France	48.5167	-4.06667	CS77013	leaf	4444.244161	0
139	LDV-46	France	48.5167	-4.06667	CS77014	leaf	4548.751871	0
159	MAR2-3	France	47.35	3.93333	CS77070	leaf	4808.545837	0
265	PYL-6	France	44.65	-1.16667	CS77198	leaf	4103.189376	0
350	TOU-A1-88	France	46.6667	4.11667	CS77382	leaf	5189.42262	0
351	TOU-A1-89	France	46.6667	4.11667	CS77383	leaf	5149.838545	.
403	Zdarec3	Czech Republic	49.3667	16.2667	CS78873	leaf	5738.625771	1
410	Doubravnik7	Czech Republic	49.4211	16.3497	CS76808	leaf	5279.13738	1
424	Draha2	Czech Republic	49.4112	16.2815	CS76812	leaf	5226.320526	1
428	Borky1	Czech Republic	49.403	16.232	CS76718	leaf	4835.205927	1
430	Gr-1	Austria	47	15.5	CS76496	leaf	4448.517443	0
991	Ale-Stenar-41-1	Sweden	55.3833	14.05	CS76651	leaf	5193.973635	1
992	Ale-Stenar-44-4	Sweden	55.3833	14.05	CS76652	leaf	5052.82777	1
997	Ale-Stenar-56-14	Sweden	55.3833	14.05	CS76653	leaf	5619.322089	0
1002	Ale-Stenar-64-24	Sweden	55.3833	14.05	CS76654	leaf	4625.905547	0
1061	BrÃ¶sarp-11-135	Sweden	55.7167	14.1333	CS76727	leaf	4814.025574	0
1062	BrÃ¶sarp-15-138	Sweden	55.7167	14.1333	CS76728	leaf	5181.970301	.
1063	BrÃ¶sarp-21-140	Sweden	55.7167	14.1333	CS76729	leaf	5442.316125	0
1066	BrÃ¶sarp-34-145	Sweden	55.7167	14.1333	CS76730	leaf	4873.817192	0
1158	Aledal-6-49	Sweden	56.7	16.5167	CS76656	leaf	4598.255653	0
1254	Tos-82-387	Sweden	59.4333	17.0167	CS77379	leaf	4717.933485	.
1257	Tos-95-393	Sweden	59.4333	17.0167	CS77380	leaf	5000.021394	0
1317	Ã„ngsÃ¶-74-430	Sweden	59.5667	16.8667	CS76665	leaf	4647.945254	.
1552	Sku-30	Sweden	63.0833	18.3667	CS77251	leaf	5186.852259	0
4779	UKSW06-179	UK	50.4	-4.9	CS78808	leaf	4563.82261	.
4807	UKSW06-207	UK	50.4	-4.9	CS78809	leaf	5295.048509	0
4826	UKSW06-226	UK	50.4	-4.9	CS78810	leaf	4923.467451	0
4884	UKSW06-285	UK	50.3	-4.9	CS78811	leaf	5147.393246	0
4900	UKSW06-302	UK	50.3	-4.8	CS78812	leaf	5147.184719	0
4958	UKSW06-360	UK	50.5	-4.5	CS78814	leaf	4130.35922	0
5023	UKSE06-118	UK	51.3	0.5	CS78799	leaf	5260.481514	0
5104	UKSE06-252	UK	51.3	0.5	CS78800	leaf	4739.839734	0
5151	UKSE06-325	UK	52.2	-1.7	CS78801	leaf	4336.085619	0
5165	UKSE06-362	UK	51.3	0.4	CS78802	leaf	4656.80379	0
5210	UKSE06-432	UK	51.2	0.3	CS78803	leaf	4561.38099	0
5236	UKSE06-470	UK	51.2	0.4	CS78804	leaf	4665.964105	0
5253	UKSE06-500	UK	51.1	0.6	CS78805	leaf	4593.059509	0
5276	UKSE06-533	UK	51.3	1.1	CS78806	leaf	5561.778477	0
5349	UKSE06-639	UK	51.1	0.4	CS78807	leaf	5431.222147	0
5353	UKNW06-003	UK	54.5	-3	CS78792	leaf	4896.872478	0
5486	UKNW06-233	UK	54.6	-3.3	CS78794	leaf	4661.979131	0
5577	UKNW06-403	UK	54.7	-3.4	CS78797	leaf	5181.972875	0
5644	UKNW06-481	UK	54.4	-2.9	CS78798	leaf	5064.879159	0
5720	Cal-2	UK	53.3	-1.6	CS78781	leaf	5282.339495	.
5726	Cnt-1	UK	51.3	1.1	CS78782	leaf	4903.920055	0
5741	For-2	UK	56.6	-4.1	CS78783	leaf	5299.20822	0
5748	Kil-0	UK	56	-4.4	CS78784	leaf	5031.139936	0
5757	Mc-1	UK	54.6	-2.3	CS78785	leaf	4174.946148	0
5768	UKID63	UK	54.1	-1.5	CS78786	leaf	4277.361787	0
5772	Set-1	UK	54.1	-2.3	CS78787	leaf	5143.08177	0
5779	UKID74	UK	51	-3.1	CS78789	leaf	4399.275846	0
5784	Ty-1	UK	56.4	-5.2	CS78790	leaf	4502.190694	0
5800	UKID96	UK	57.4	-5.5	CS78791	leaf	4674.426832	0
5811	UKID107	UK	52.9	-3.1	CS78778	leaf	4650.519772	0
5822	UKID116	UK	56.7333	-5.98333	CS78780	leaf	4618.422368	0
5830	App1-12	Sweden	56.3333	15.9667	CS76667	leaf	5284.751421	1
5831	App1-14	Sweden	56.3333	15.9667	CS76668	leaf	5470.047958	1
5832	App1-16	Sweden	56.3333	15.9667	CS76669	leaf	4543.60232	0
5837	Bor-1	Czech Republic	49.4013	16.2326	CS76453	leaf	4841.149158	1
5856	DÃ¶r-10	Sweden	63.0167	17.4914	CS76806	leaf	4831.457455	.
