Accession_ID	Name	Country	Latitude	Longitude	CS_number	material	material_Country	Li7	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd114
88	CYR	France	47.4	0.683333	CS76790	leaf	France_leaf	13.53342653	1989.385107	4513.790113	20245.88008	13718.25964	76789.25697	40328.28864	219.3897046	138.4015798	1.82764674	7.05253075	98.27499681	1.151200082	71.44205746	391.8469821	62.93732424	5.052709259	2.448870596
108	LDV-18	France	48.5167	-4.06667	CS77013	leaf	France_leaf	15.19426684	2189.845711	4444.244161	15681.93266	14534.25144	64588.97928	41354.1618	227.7500625	139.236192	2.404636291	8.692986506	101.369937	0.961746036	80.21016952	352.1721328	67.49295929	5.875919216	2.932134287
139	LDV-46	France	48.5167	-4.06667	CS77014	leaf	France_leaf	14.93336946	1898.967428	4548.751871	15985.69358	13106.87397	65677.23215	41165.49664	231.6116443	138.5634068	2.078383262	9.324009622	90.11958963	1.000845233	80.95273053	366.5333652	66.63008224	4.893860019	2.737883103
159	MAR2-3	France	47.35	3.93333	CS77070	leaf	France_leaf	13.95176412	728.6672656	4808.545837	15769.71345	13900.11781	74906.16978	39392.6805	218.849576	137.8329932	1.843777641	7.985747949	89.16087858	0.979776864	83.33357187	483.7499944	62.55930177	5.164345256	2.349768589
265	PYL-6	France	44.65	-1.16667	CS77198	leaf	France_leaf	13.95446022	944.4216165	4103.189376	16996.61474	13562.86662	80246.51199	40462.53628	248.6903365	142.2038513	2.545781223	9.120527691	91.62187418	1.279417745	65.26734219	386.1465907	65.70239341	22.86461166	2.725846422
350	TOU-A1-88	France	46.6667	4.11667	CS77382	leaf	France_leaf	14.24577385	880.9203293	5189.42262	15020.29906	13054.56328	73027.51297	41065.20419	239.4484809	141.869167	2.588543343	8.14642976	92.91151802	0.959830054	76.18864912	435.0553981	64.13836671	4.08779887	2.575350891
351	TOU-A1-89	France	46.6667	4.11667	CS77383	leaf	France_leaf	15.65350507	1276.628729	5149.838545	17472.73225	12954.59983	63279.94941	45912.58564	264.717774	146.3197167	2.330858384	7.719167479	90.41936691	0.974844272	67.44901746	364.8024393	73.40733962	6.692231716	2.5564639
403	Zdarec3	Czech Republic	49.3667	16.2667	CS78873	leaf	Czech Republic_leaf	14.97358703	1070.270085	5738.625771	15351.89387	9453.828446	78627.60738	44726.81929	218.1436697	142.2535048	1.611883046	7.062901979	84.40173126	0.901845018	57.09912223	465.4060015	68.09098917	4.397777318	2.107861048
410	Doubravnik7	Czech Republic	49.4211	16.3497	CS76808	leaf	Czech Republic_leaf	14.30892171	654.5365448	5279.13738	15730.02784	11252.76322	70879.54483	44860.86221	223.6407226	140.2430823	2.599035343	8.296873354	97.82562547	0.899593819	62.05032725	401.5184888	71.17954103	6.39151063	2.457425184
424	Draha2	Czech Republic	49.4112	16.2815	CS76812	leaf	Czech Republic_leaf	14.91899187	1009.361995	5226.320526	16169.67504	13248.97436	65258.4355	42076.42685	224.3521257	140.0408447	2.438747865	8.488944932	86.5145241	0.977662918	79.48397128	370.0718529	66.54801394	4.455969598	2.525623918
