Accession_ID	Leaf_Mg_Blues	chr5_21394004
12766	3055.19088172939	0
12911	2904.39285157166	0
12912	2411.59823329217	1
13172	3007.56636038059	0
13173	2992.90781003078	0
13175	2906.95024788414	0
13177	2675.50839479357	1
13178	2504.98973790627	1
13179	3038.0416247113	0
13183	2926.64060170061	0
13578	3397.772928925	0
13580	3175.71518398809	0
13581	2216.53418407455	1
13582	2842.21966926628	0
13583	2851.5297922589	0
15668	3211.07510727378	0
15669	2900.21558606518	0
15670	2688.85235458595	0
15671	2628.56846552684	0
15672	2895.64623835218	0
15673	3003.69565531727	0
15674	2371.79163138987	1
15675	3016.47406624305	0
16150	3162.9596598949	0
16151	2606.68803697749	0
16292	2980.73982744417	0
16293	2831.45113071312	0
20681	2793.52580598879	0
20682	2906.8716561634	0
20683	2402.8811413115	1
20684	2579.8927366631	1
20685	2798.56132874801	0
20686	2902.37794961678	0
20687	2817.31536012172	0
22013	2910.41910530017	0
22609	2782.32553850776	0
22615	2629.20840172892	0
22616	2986.42893787929	0
22617	2447.19223852465	0
22618	2655.45894265677	1
22619	2740.13154405972	0
22620	1920.68182211663	1
22622	2853.60148269904	0
22623	2933.13840819947	0
22624	2694.98720579223	1
22626	2772.60750704455	0
22627	2849.28605617735	0
22628	2986.9651839881	0
22630	2395.27804704625	0
22631	2861.15420855764	0
22632	2147.8061006181	1
22633	2854.87248922786	0
22634	3050.54046899107	0
22637	2984.51609066751	0
22641	2779.23582256119	0
22642	2717.71195448063	0
22643	2778.98129725937	0
27158	2671.61704032028	0
27160	3362.16444346621	0
27161	2690.85935742663	0
27162	2691.01037365361	0
27163	3186.60538617423	0
27165	2643.30936261787	0
27169	3278.95911549011	0
27170	2832.94639661399	0
27172	2654.57900291657	0
27174	2835.49387245889	0
27175	2632.74113407355	1
27177	3007.57070397232	0
27179	2728.58604850465	0
27180	2353.3222713916	1
27181	2932.47141126296	0
27182	2457.91734828711	1
2876_A	2926.35202678839	0
2876_AA	2937.92217601754	0
2876_AB	2586.17687593465	0
2876_AC	2718.28734993758	0
2876_AD	2650.44801829023	0
2876_AE	2464.97227599011	1
2876_AF	3121.31725629828	0
2876_AK	3072.43914478902	0
2876_AL	2935.60808733086	0
2876_AN	3098.7445656891	0
2876_AO	2594.50805510592	0
2876_AP	3013.68369228969	0
2876_AR	3024.78512808684	0
2876_AS	2975.66783271694	0
2876_AT	3035.07600208039	0
2876_AU	2474.93457243505	1
2876_AV	2742.11821433519	0
2876_AW	2571.80037365362	0
2876_B	3133.37640582249	0
2876_C	3074.87734993757	0
2876_D	2931.13826882998	0
2876_E	2602.16672863865	.
2876_F	2653.8514979743	.
2876_G	2926.66356947266	0
2876_H	3031.00340308849	0
2876_J	2981.32070297321	0
2876_K	3010.52232076693	0
2876_L	3134.17846257602	0
2876_M	3027.51850286094	0
2876_N	2780.23067916951	0
2876_O	2837.28878299295	0
2876_P	2858.12290413341	0
2876_Q	3115.60879273813	0
2876_S	2892.47242683308	0
2876_U	2811.98693554889	0
2876_V	3238.40411096905	.
2876_W	2947.95017269418	0
2876_X	2809.2716338082	0
2876_Y	2862.61130154386	0
2876_Z	2536.2388901844	0
3536_AE	2564.52471759544	1
3536_W	3245.94784607713	0
3536_X	3501.67135217805	0
3541_AB	2906.7651978658	0
3541_AF	2355.86017422075	.
3541_F	2951.33878207275	.
3541_H	2640.51054809404	0
3541_L	3028.68798616441	0
3541_N	2732.88084666909	0
3541_Y	2427.46942400084	1
35516	2895.61179256896	0
35517	2778.40009646214	1
35518	2389.02228301305	0
35519	2531.74809097757	0
3619_P	2564.50470992274	0
3968_A	2956.24631113014	0
3968_AA	2839.04504758253	0
3968_AB	2658.2955176947	0
3968_AC	2786.74221794441	0
3968_AD	2684.35840523555	.
3968_AE	3269.93821433519	0
3968_AF	2967.6514823967	0
3968_AG	3241.4234113152	0
3968_AH	3155.13890541972	0
3968_AI	3197.60070397232	0
3968_AJ	2609.28186453246	0
3968_AK	3407.10367111531	0
3968_AL	2892.41528152275	0
3968_AM	2398.59805510592	1
3968_AN	3024.91782110279	0
3968_AO	3098.1692936086	0
3968_AP	2989.16588768773	0
3968_AR	2433.99092330602	1
3968_B	2882.49893787929	0
3968_C	2896.87782794437	0
3968_E	2746.11487739305	0
3968_F	2948.32654511227	0
3968_G	2828.41735099063	.
3968_H	2890.54848186286	.
3968_I	2829.81650269519	0
3968_J	2819.223105477	0
3968_K	2463.43665501716	1
3968_L	2530.33793918727	1
3968_M	2429.74516023076	1
3968_R	2363.77369228969	1
3968_S	2434.33047943431	1
3968_T	2923.52287763573	0
3968_U	2835.23506316013	0
3968_V	2705.70603735789	0
3968_W	2575.79857701268	.
3968_X	2998.50624459625	0
3968_Y	2608.23325889976	0
3968_Z	2792.09891337867	0
